control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11285,1783598421.2406,1783598421.240134,679,1783598421.192827,1783598421.1934948,679,47.10531234741211,69,SPEED_FALLBACK,7,5
11286,1783598421.2559283,1783598421.2556171,679,1783598421.192827,1783598421.1934948,679,62.433481216430664,69,SPEED_FALLBACK,7,6
11287,1783598421.2617564,1783598421.2614052,679,1783598421.192827,1783598421.1934948,679,68.26162338256836,69,SPEED_FALLBACK,7,7
11288,1783598421.2718887,1783598421.2716408,680,1783598421.259392,1783598421.2600048,680,11.883974075317383,81,NORMAL,7,1
11289,1783598421.2814631,1783598421.2812812,680,1783598421.259392,1783598421.2600048,680,21.45838737487793,81,NORMAL,7,2
11290,1783598421.2918358,1783598421.2915518,680,1783598421.259392,1783598421.2600048,680,31.831026077270508,81,NORMAL,7,3
11291,1783598421.3015583,1783598421.3012908,680,1783598421.259392,1783598421.2600048,680,41.553497314453125,81,NORMAL,7,4
11292,1783598421.3132446,1783598421.3118262,680,1783598421.259392,1783598421.2600048,680,53.23982238769531,81,NORMAL,7,5
11293,1783598421.3226573,1783598421.3223403,680,1783598421.259392,1783598421.2600048,680,62.652587890625,81,NORMAL,7,6
11294,1783598421.3304284,1783598421.3301673,680,1783598421.259392,1783598421.2600048,680,70.42360305786133,81,NORMAL,7,7
11295,1783598421.3404965,1783598421.3402803,681,1783598421.3284893,1783598421.3291376,681,11.358976364135742,111,NORMAL,8,1
11296,1783598421.3505962,1783598421.3503206,681,1783598421.3284893,1783598421.3291376,681,21.45862579345703,111,NORMAL,8,2
11297,1783598421.3607163,1783598421.3604436,681,1783598421.3284893,1783598421.3291376,681,31.578779220581055,111,NORMAL,8,3
11298,1783598421.3707657,1783598421.370474,681,1783598421.3284893,1783598421.3291376,681,41.628122329711914,111,NORMAL,8,4
11299,1783598421.3804073,1783598421.380186,681,1783598421.3284893,1783598421.3291376,681,51.2697696685791,111,NORMAL,8,5
11300,1783598421.390805,1783598421.3904753,681,1783598421.3284893,1783598421.3291376,681,61.667442321777344,111,NORMAL,8,6
11301,1783598421.4004252,1783598421.4002464,681,1783598421.3284893,1783598421.3291376,681,71.28763198852539,111,NORMAL,8,7
11302,1783598421.4112806,1783598421.4109612,681,1783598421.3284893,1783598421.3291376,681,82.14306831359863,111,NORMAL,8,8
11303,1783598421.420657,1783598421.4204712,682,1783598421.4086485,1783598421.4094696,682,11.187314987182617,79,NORMAL,7,1
11304,1783598421.4305677,1783598421.4303463,682,1783598421.4086485,1783598421.4094696,682,21.09813690185547,79,NORMAL,7,2
11305,1783598421.4404204,1783598421.4401793,682,1783598421.4086485,1783598421.4094696,682,30.95078468322754,79,NORMAL,7,3
11306,1783598421.452335,1783598421.4520962,682,1783598421.4086485,1783598421.4094696,682,42.86527633666992,79,NORMAL,7,4
11307,1783598421.460924,1783598421.4606352,682,1783598421.4086485,1783598421.4094696,682,51.45430564880371,79,NORMAL,7,5
